Project number,Lot,Supplier,Deliverable,MGR BE Number,Location,Resource,Contractors Name,CW,Work Description (e.g. Roof Works),Year,Date Received,Date Reviewed,Duration between receipt/review,Status (Authorised or Rejected with amendments Req),Has been authorised eventually?,Invoiced to MGR?,Comments,Work Stream
76366565,1,KR Analytics Ltd,MARS Review,62.24.26.41,CM19 4PR,Cassius Mullins,MEKOS Ltd,Yes,Bird Netting Repair,3,2023-08-19,2023-08-24,"5 days, 0:00:00",Rejected,Yes,No,zhkpb,WS1
39505930,1,KR Analytics Ltd,MARS Review,63.55.21.42,EH7 4ZH,Annabel Beasley,Caledonian Ltd,Yes,Vent Repairs,3,2023-06-24,2023-06-29,"5 days, 0:00:00",Authorised,N/A,Yes,sxyvi,WS3
42384158,0,KR Analytics Ltd,MARS Review,51.24.46.44,EH51 9LU,Tate Benjamin,German Ltd,No,Roof repair,3,2024-01-14,2024-01-22,"8 days, 0:00:00",Rejected,No,No,htzcw,WS3
17489287,2,KR Analytics Ltd,MARS Review,63.41.12.53,CR4 2DZ,Kenny Merritt,German Ltd,Yes,Air Conditioning Installations,3,2023-07-11,2023-07-18,"7 days, 0:00:00",Authorised,N/A,Yes,agkou,WS3
79656163,4,KR Analytics Ltd,MARS Review,45.51.12.62,BA21 5EE,Marcos Mcpherson,German Ltd,No,Bird Netting Repair,3,2023-09-05,2023-09-08,"3 days, 0:00:00",Authorised,N/A,Yes,ymavf,WS1
86065699,1,KR Analytics Ltd,MARS Review,23.55.53.22,DT11 8DA,Kenny Merritt,MEKOS Ltd,No,Air Conditioning Installations,3,2023-09-22,2023-09-28,"6 days, 0:00:00",Rejected,Yes,No,tktfr,WS3
07976962,3,KR Analytics Ltd,MARS Review,11.55.12.53,HA1 9AR,Kenny Merritt,Centurion Ltd,No,Roof repair,3,2023-11-02,2023-11-16,"14 days, 0:00:00",Authorised,N/A,Yes,uujvm,WS1
27544686,0,KR Analytics Ltd,MARS Review,15.62.54.23,BT92 5DJ,Tate Benjamin,Caledonian Ltd,Yes,Vent Repairs,3,2024-01-09,2024-01-20,"11 days, 0:00:00",Authorised,N/A,Yes,vkjnm,WS3
36583169,3,KR Analytics Ltd,MARS Review,44.12.23.61,DL15 8AW,Marcos Mcpherson,MEKOS Ltd,Yes,Roof repair,3,2023-09-16,2023-09-18,"2 days, 0:00:00",Authorised,N/A,Yes,zqbuo,WS3
42747471,0,KR Analytics Ltd,MARS Review,52.36.66.52,BB8 6RD,Alfredo Holmes,Aboard Service Ltd,No,Roof repair,3,2023-08-05,2023-08-07,"2 days, 0:00:00",Authorised,N/A,Yes,oyszd,WS3
45056515,2,KR Analytics Ltd,MARS Review,34.11.52.62,GU2 6YX,Alfredo Holmes,DASDA Ltd,No,Heating Installations,3,2023-10-30,2023-11-07,"8 days, 0:00:00",Authorised,N/A,Yes,qzale,WS1
52168162,2,KR Analytics Ltd,MARS Review,51.63.34.33,BT60 2EN,Marcos Mcpherson,DASDA Ltd,No,General Inspection,3,2024-01-12,2024-01-17,"5 days, 0:00:00",Rejected,No,No,lrxbm,WS1
86005219,1,KR Analytics Ltd,MARS Review,21.25.16.16,DG5 4GH,Annabel Beasley,Arc Ltd,Yes,Air Conditioning Installations,3,2023-12-10,2023-12-11,"1 day, 0:00:00",Authorised,N/A,Yes,rephi,WS3
47595694,1,KR Analytics Ltd,MARS Review,64.46.41.54,BS22 0HG,Alfredo Holmes,DASDA Ltd,Yes,Vent Repairs,3,2024-01-21,2024-01-22,"1 day, 0:00:00",Rejected,Yes,No,woomi,WS3
56751104,2,KR Analytics Ltd,MARS Review,25.53.15.32,G2 6HA,Cora Lindsey,Centurion Ltd,Yes,Other Repairs,3,2023-06-08,2023-06-17,"9 days, 0:00:00",Rejected,No,No,ttqlb,WS1
88177032,2,KR Analytics Ltd,MARS Review,51.45.13.16,BT8 4BZ,Kenny Merritt,German Ltd,Yes,General Inspection,3,2023-08-16,2023-08-18,"2 days, 0:00:00",Rejected,Yes,No,ealjq,WS1
96428174,1,KR Analytics Ltd,MARS Review,41.26.22.62,CR9 2WG,Chelsea Huber,Centurion Ltd,No,Asbestos Survey,3,2024-01-19,2024-01-31,"12 days, 0:00:00",Rejected,No,No,rjhfd,WS3
68919150,2,KR Analytics Ltd,MARS Review,23.15.34.42,BT35 0QY,Cassius Mullins,Elixir Ltd,Yes,Asbestos Survey,3,2023-07-04,2023-07-12,"8 days, 0:00:00",Authorised,N/A,Yes,ouvxw,WS1
06886000,0,KR Analytics Ltd,MARS Review,36.46.41.14,BT57 8AR,Alfredo Holmes,MEKOS Ltd,No,Asbestos Survey,3,2024-02-23,2024-02-27,"4 days, 0:00:00",Rejected,No,No,ijqnm,WS1
28713145,4,KR Analytics Ltd,MARS Review,21.64.32.31,B63 2UL,Chelsea Huber,MEKOS Ltd,No,Bird Netting Repair,3,2024-03-01,2024-03-08,"7 days, 0:00:00",Rejected,No,No,yjqms,WS3
76405672,4,KR Analytics Ltd,MARS Review,16.41.24.16,AB15 7QA,Jazmine Mathis,DASDA Ltd,No,Bird Netting Repair,3,2023-08-03,2023-08-11,"8 days, 0:00:00",Authorised,N/A,Yes,jwaky,WS1
72925475,3,KR Analytics Ltd,MARS Review,21.25.66.66,EX39 5RD,Cora Lindsey,DASDA Ltd,No,Other Repairs,3,2023-04-19,2023-04-22,"3 days, 0:00:00",Rejected,No,No,zvecm,WS1
19175529,4,KR Analytics Ltd,MARS Review,36.31.36.65,CV21 1EW,Tate Benjamin,Centurion Ltd,No,Fall Protection Inspection,3,2023-11-05,2023-11-12,"7 days, 0:00:00",Rejected,Yes,No,hkruu,WS3
15947725,4,KR Analytics Ltd,MARS Review,64.55.11.46,G11 6JA,Kenny Merritt,Caledonian Ltd,No,Air Conditioning Installations,3,2023-07-12,2023-07-24,"12 days, 0:00:00",Authorised,N/A,Yes,pglpr,WS1
43725406,0,KR Analytics Ltd,MARS Review,11.52.44.36,AB2 5UA,Brayden Giles,Caledonian Ltd,No,General Inspection,3,2024-01-03,2024-01-15,"12 days, 0:00:00",Authorised,N/A,Yes,bwdwg,WS3
96041196,4,KR Analytics Ltd,MARS Review,14.53.35.22,HD1 2YZ,Brayden Giles,DASDA Ltd,Yes,Heating Installations,3,2023-04-19,2023-04-26,"7 days, 0:00:00",Rejected,Yes,No,scmxt,WS1
78681177,1,KR Analytics Ltd,MARS Review,25.16.32.31,EX9 6NF,Tate Benjamin,Centurion Ltd,Yes,Vent Repairs,3,2023-07-11,2023-07-21,"10 days, 0:00:00",Authorised,N/A,Yes,kpshw,WS3
45948608,4,KR Analytics Ltd,MARS Review,11.13.35.13,EH9 1JJ,Annabel Beasley,Arc Ltd,Yes,Heating Installations,3,2023-08-04,2023-08-08,"4 days, 0:00:00",Rejected,No,No,axyqt,WS1
21995574,1,KR Analytics Ltd,MARS Review,41.66.23.66,BH20 7YA,Cora Lindsey,Elixir Ltd,Yes,Asbestos Survey,3,2023-12-20,2023-12-27,"7 days, 0:00:00",Authorised,N/A,Yes,giqdd,WS1
64566586,3,KR Analytics Ltd,MARS Review,63.56.54.66,AB42 5HE,Annabel Beasley,Centurion Ltd,Yes,Vent Repairs,3,2024-01-26,2024-02-04,"9 days, 0:00:00",Authorised,N/A,Yes,qqclp,WS1
50242378,3,KR Analytics Ltd,MARS Review,41.11.33.33,EH10 6EY,Cassius Mullins,Caledonian Ltd,Yes,Bird Netting Repair,3,2023-08-04,2023-08-09,"5 days, 0:00:00",Authorised,N/A,Yes,bdnml,WS3
57426680,2,KR Analytics Ltd,MARS Review,35.34.33.21,DA2 7QT,Marcos Mcpherson,Caledonian Ltd,No,Other Repairs,3,2023-08-06,2023-08-09,"3 days, 0:00:00",Rejected,Yes,No,rnllo,WS1
30394525,4,KR Analytics Ltd,MARS Review,65.64.13.26,EH11 3LP,Tate Benjamin,Arc Ltd,Yes,Roof repair,3,2023-09-23,2023-09-26,"3 days, 0:00:00",Rejected,Yes,No,wmwim,WS3
83037020,3,KR Analytics Ltd,MARS Review,66.22.24.62,DN18 6JX,Marcos Mcpherson,DASDA Ltd,Yes,Roof repair,3,2023-12-06,2023-12-08,"2 days, 0:00:00",Authorised,N/A,Yes,eruzx,WS1
21182478,1,KR Analytics Ltd,MARS Review,46.22.12.65,GL56 9QG,Alfredo Holmes,Arc Ltd,No,Vent Repairs,3,2024-01-24,2024-01-27,"3 days, 0:00:00",Authorised,N/A,Yes,svljm,WS1
54443855,3,KR Analytics Ltd,MARS Review,42.52.11.11,BH12 4EY,Cassius Mullins,DASDA Ltd,No,Other Repairs,3,2023-04-29,2023-05-10,"11 days, 0:00:00",Authorised,N/A,Yes,isypq,WS1
86896266,4,KR Analytics Ltd,MARS Review,13.23.55.22,GL55 6JW,Cassius Mullins,Caledonian Ltd,Yes,Other Repairs,3,2023-12-05,2023-12-14,"9 days, 0:00:00",Authorised,N/A,Yes,mqbre,WS3
34125819,1,KR Analytics Ltd,MARS Review,14.35.25.26,DN35 7WX,Chelsea Huber,Centurion Ltd,No,Bird Netting Repair,3,2023-06-04,2023-06-07,"3 days, 0:00:00",Authorised,N/A,Yes,daiei,WS1
87524463,3,KR Analytics Ltd,MARS Review,61.32.14.21,BD1 3TD,Alfredo Holmes,MEKOS Ltd,No,Bird Netting Repair,3,2023-04-11,2023-04-22,"11 days, 0:00:00",Authorised,N/A,Yes,jzror,WS1
53863965,2,KR Analytics Ltd,MARS Review,32.24.34.53,E13 8TW,Brayden Giles,Arc Ltd,Yes,Asbestos Survey,3,2023-06-18,2023-06-30,"12 days, 0:00:00",Authorised,N/A,Yes,jkvgk,WS3
63082244,3,KR Analytics Ltd,MARS Review,51.63.16.64,BH12 4DB,Annabel Beasley,DASDA Ltd,Yes,General Inspection,3,2023-08-08,2023-08-22,"14 days, 0:00:00",Rejected,No,No,umzio,WS1
89403843,2,KR Analytics Ltd,MARS Review,51.44.66.12,BB8 0LW,Alfredo Holmes,Elixir Ltd,No,Heating Installations,3,2023-05-08,2023-05-18,"10 days, 0:00:00",Rejected,Yes,No,ncfyn,WS1
39086123,0,KR Analytics Ltd,MARS Review,66.23.23.13,DL3 0LU,Tate Benjamin,Elixir Ltd,Yes,Fall Protection Inspection,3,2024-01-18,2024-01-31,"13 days, 0:00:00",Rejected,Yes,No,eezja,WS1
76806530,4,KR Analytics Ltd,MARS Review,11.35.21.12,DE1 1EB,Marcos Mcpherson,German Ltd,No,Roof repair,3,2024-03-03,2024-03-14,"11 days, 0:00:00",Authorised,N/A,Yes,rmqjl,WS1
52210105,4,KR Analytics Ltd,MARS Review,25.55.45.13,GU33 9AX,Alfredo Holmes,Arc Ltd,No,Fall Protection Inspection,3,2023-06-14,2023-06-23,"9 days, 0:00:00",Rejected,Yes,No,gqldy,WS1
94582751,1,KR Analytics Ltd,MARS Review,36.31.64.31,BA8 0RG,Annabel Beasley,German Ltd,Yes,Air Conditioning Installations,3,2023-08-21,2023-08-24,"3 days, 0:00:00",Authorised,N/A,Yes,vixcd,WS1
23838889,2,KR Analytics Ltd,MARS Review,61.41.46.12,BS1 1YL,Jazmine Mathis,Epiphany Ltd,Yes,Asbestos Survey,3,2023-05-13,2023-05-26,"13 days, 0:00:00",Rejected,No,No,bunud,WS3
05083936,3,KR Analytics Ltd,MARS Review,61.65.61.34,G15 6QN,Cora Lindsey,Arc Ltd,No,Air Conditioning Installations,3,2023-08-08,2023-08-11,"3 days, 0:00:00",Rejected,No,No,yhjgt,WS3
78545926,3,KR Analytics Ltd,MARS Review,45.32.63.25,CA11 7SW,Kenny Merritt,MEKOS Ltd,No,Heating Installations,3,2023-07-04,2023-07-09,"5 days, 0:00:00",Rejected,No,No,oepkz,WS3
33227386,4,KR Analytics Ltd,MARS Review,35.44.25.32,CB25 0FB,Annabel Beasley,Epiphany Ltd,No,Air Conditioning Installations,3,2024-03-02,2024-03-06,"4 days, 0:00:00",Rejected,Yes,No,nqonj,WS1
89946035,3,KR Analytics Ltd,MARS Review,25.25.31.12,HR2 8DL,Jazmine Mathis,Centurion Ltd,Yes,Vent Repairs,3,2023-04-17,2023-04-24,"7 days, 0:00:00",Authorised,N/A,Yes,vkyiq,WS1
40664312,2,KR Analytics Ltd,MARS Review,32.52.55.43,CW4 8LR,Alfredo Holmes,Arc Ltd,Yes,Vent Repairs,3,2023-10-13,2023-10-22,"9 days, 0:00:00",Rejected,Yes,No,qfmix,WS3
88155442,3,KR Analytics Ltd,MARS Review,23.43.35.34,G20 9BQ,Chelsea Huber,DASDA Ltd,No,Roof repair,3,2023-09-30,2023-10-14,"14 days, 0:00:00",Rejected,Yes,No,kbeag,WS3
85215977,0,KR Analytics Ltd,MARS Review,45.22.56.25,CF63 4EJ,Annabel Beasley,Caledonian Ltd,No,Vent Repairs,3,2023-12-05,2023-12-17,"12 days, 0:00:00",Rejected,No,No,ltbcr,WS3
40776353,3,KR Analytics Ltd,MARS Review,63.12.64.43,CR3 2XX,Alfredo Holmes,Centurion Ltd,No,Asbestos Survey,3,2023-04-01,2023-04-02,"1 day, 0:00:00",Rejected,Yes,No,carmq,WS1
54064772,2,KR Analytics Ltd,MARS Review,36.64.11.33,EX14 3JW,Kenny Merritt,Caledonian Ltd,Yes,Other Repairs,3,2023-03-31,2023-04-03,"3 days, 0:00:00",Rejected,No,No,kmeuk,WS1
62971265,3,KR Analytics Ltd,MARS Review,22.32.51.55,HP22 5HZ,Brayden Giles,Epiphany Ltd,No,Air Conditioning Installations,3,2023-10-13,2023-10-16,"3 days, 0:00:00",Authorised,N/A,Yes,pejii,WS3
73800855,1,KR Analytics Ltd,MARS Review,44.23.66.21,CR3 9DJ,Kenny Merritt,Centurion Ltd,Yes,Bird Netting Repair,3,2023-07-27,2023-08-07,"11 days, 0:00:00",Authorised,N/A,Yes,thmiu,WS3
20801975,3,KR Analytics Ltd,MARS Review,56.33.65.11,BN1 4FX,Brayden Giles,Elixir Ltd,Yes,Roof repair,3,2023-07-24,2023-08-02,"9 days, 0:00:00",Authorised,N/A,Yes,zrmup,WS1
95328347,1,KR Analytics Ltd,MARS Review,63.56.61.14,G21 4YG,Jazmine Mathis,DASDA Ltd,Yes,Fall Protection Inspection,3,2023-11-02,2023-11-08,"6 days, 0:00:00",Rejected,No,No,ukadi,WS1
80049715,3,KR Analytics Ltd,MARS Review,66.26.21.56,G78 2LT,Annabel Beasley,Elixir Ltd,No,Other Repairs,3,2023-06-04,2023-06-11,"7 days, 0:00:00",Authorised,N/A,Yes,pmgxu,WS3
70861052,0,KR Analytics Ltd,MARS Review,22.15.36.11,AL10 1ZZ,Jazmine Mathis,Arc Ltd,Yes,Asbestos Survey,3,2023-11-14,2023-11-17,"3 days, 0:00:00",Authorised,N/A,Yes,bhloa,WS1
68977287,2,KR Analytics Ltd,MARS Review,21.16.36.23,BT67 0NU,Kenny Merritt,DASDA Ltd,Yes,Other Repairs,3,2023-10-05,2023-10-12,"7 days, 0:00:00",Rejected,Yes,No,npdix,WS3
58048860,1,KR Analytics Ltd,MARS Review,23.13.14.34,EH26 9LH,Tate Benjamin,MEKOS Ltd,No,Fall Protection Inspection,3,2023-12-25,2023-12-27,"2 days, 0:00:00",Rejected,No,No,zjoeu,WS3
36975742,2,KR Analytics Ltd,MARS Review,15.45.25.43,CV11 5JZ,Cassius Mullins,Centurion Ltd,No,Fall Protection Inspection,3,2023-12-22,2023-12-31,"9 days, 0:00:00",Rejected,No,No,tndqs,WS1
91634067,3,KR Analytics Ltd,MARS Review,41.25.64.53,EC4N 1TT,Kenny Merritt,Aboard Service Ltd,No,Air Conditioning Installations,3,2024-01-13,2024-01-14,"1 day, 0:00:00",Rejected,No,No,qriqc,WS1
65146689,0,KR Analytics Ltd,MARS Review,36.42.53.32,BS20 0NE,Cora Lindsey,Epiphany Ltd,No,Vent Repairs,3,2023-08-22,2023-09-01,"10 days, 0:00:00",Rejected,No,No,vgxlp,WS3
33994270,0,KR Analytics Ltd,MARS Review,21.31.51.62,GU11 2BD,Alfredo Holmes,MEKOS Ltd,Yes,Bird Netting Repair,3,2023-06-05,2023-06-18,"13 days, 0:00:00",Authorised,N/A,Yes,zovmr,WS1
95538601,0,KR Analytics Ltd,MARS Review,22.63.45.63,DE1 3QU,Tate Benjamin,Epiphany Ltd,No,Roof repair,3,2023-12-21,2023-12-31,"10 days, 0:00:00",Authorised,N/A,Yes,usseq,WS3
99023187,4,KR Analytics Ltd,MARS Review,65.65.61.33,BR3 5EZ,Jazmine Mathis,MEKOS Ltd,Yes,Other Repairs,3,2023-04-19,2023-04-21,"2 days, 0:00:00",Authorised,N/A,Yes,lzatd,WS3
42084286,3,KR Analytics Ltd,MARS Review,45.31.45.45,B68 8HS,Chelsea Huber,Arc Ltd,Yes,Other Repairs,3,2024-01-16,2024-01-30,"14 days, 0:00:00",Rejected,No,No,etpwv,WS1
89950238,2,KR Analytics Ltd,MARS Review,64.61.36.35,DE56 2HH,Cassius Mullins,Centurion Ltd,Yes,Roof repair,3,2023-08-21,2023-08-22,"1 day, 0:00:00",Rejected,Yes,No,zdejt,WS1
97046319,3,KR Analytics Ltd,MARS Review,11.15.44.14,EX1 1NB,Annabel Beasley,Elixir Ltd,No,Vent Repairs,3,2023-09-06,2023-09-11,"5 days, 0:00:00",Authorised,N/A,Yes,hyxvc,WS1
26119111,3,KR Analytics Ltd,MARS Review,63.11.56.63,E7 8UR,Jazmine Mathis,DASDA Ltd,Yes,Other Repairs,3,2024-03-01,2024-03-15,"14 days, 0:00:00",Authorised,N/A,Yes,bvfya,WS3
62794959,4,KR Analytics Ltd,MARS Review,61.36.65.11,CH44 0FB,Chelsea Huber,MEKOS Ltd,No,Asbestos Survey,3,2023-04-01,2023-04-12,"11 days, 0:00:00",Authorised,N/A,Yes,cfaem,WS3
50706111,3,KR Analytics Ltd,MARS Review,33.32.13.14,BH23 2AR,Annabel Beasley,Elixir Ltd,No,Asbestos Survey,3,2023-08-17,2023-08-23,"6 days, 0:00:00",Rejected,No,No,orhzi,WS1
93608926,1,KR Analytics Ltd,MARS Review,12.66.34.23,B1 1LB,Annabel Beasley,Centurion Ltd,No,General Inspection,3,2023-11-12,2023-11-13,"1 day, 0:00:00",Rejected,No,No,ejdhr,WS1
49821839,4,KR Analytics Ltd,MARS Review,32.33.34.34,FY1 5FA,Jazmine Mathis,DASDA Ltd,Yes,Fall Protection Inspection,3,2024-01-05,2024-01-13,"8 days, 0:00:00",Authorised,N/A,Yes,ohdmw,WS1
95989491,0,KR Analytics Ltd,MARS Review,62.42.65.35,DD11 5HZ,Cora Lindsey,Arc Ltd,No,Asbestos Survey,3,2023-07-29,2023-08-03,"5 days, 0:00:00",Authorised,N/A,Yes,udgfy,WS3
93194289,1,KR Analytics Ltd,MARS Review,26.56.21.16,BT71 5DP,Cora Lindsey,DASDA Ltd,Yes,General Inspection,3,2023-07-03,2023-07-14,"11 days, 0:00:00",Authorised,N/A,Yes,idpqc,WS3
30575157,3,KR Analytics Ltd,MARS Review,51.24.62.54,BD12 8RA,Annabel Beasley,Caledonian Ltd,Yes,Asbestos Survey,3,2024-01-27,2024-02-02,"6 days, 0:00:00",Authorised,N/A,Yes,xwwjm,WS1
97603519,0,KR Analytics Ltd,MARS Review,35.64.53.41,BT16 0GB,Marcos Mcpherson,Arc Ltd,No,General Inspection,3,2023-12-19,2023-12-22,"3 days, 0:00:00",Rejected,No,No,mznur,WS3
74526169,2,KR Analytics Ltd,MARS Review,36.31.63.65,BA2 2UG,Brayden Giles,DASDA Ltd,No,Bird Netting Repair,3,2024-02-20,2024-02-26,"6 days, 0:00:00",Authorised,N/A,Yes,tqwiw,WS1
04077162,4,KR Analytics Ltd,MARS Review,23.11.42.45,BD3 7YW,Tate Benjamin,Epiphany Ltd,No,Air Conditioning Installations,3,2023-05-17,2023-05-22,"5 days, 0:00:00",Authorised,N/A,Yes,gxvkg,WS1
89306981,3,KR Analytics Ltd,MARS Review,34.13.51.51,CB1 1JP,Chelsea Huber,Centurion Ltd,No,Vent Repairs,3,2023-07-13,2023-07-27,"14 days, 0:00:00",Authorised,N/A,Yes,pvkya,WS3
69535669,3,KR Analytics Ltd,MARS Review,36.52.31.41,DY6 0JF,Brayden Giles,DASDA Ltd,Yes,Vent Repairs,3,2023-04-10,2023-04-17,"7 days, 0:00:00",Rejected,No,No,ahhwy,WS1
24849255,4,KR Analytics Ltd,MARS Review,62.33.52.43,BH7 6EU,Brayden Giles,Epiphany Ltd,No,Asbestos Survey,3,2023-04-09,2023-04-14,"5 days, 0:00:00",Authorised,N/A,Yes,nshfw,WS3
27659060,1,KR Analytics Ltd,MARS Review,56.22.22.26,B68 8QG,Cora Lindsey,Epiphany Ltd,Yes,Other Repairs,3,2023-04-28,2023-04-30,"2 days, 0:00:00",Rejected,No,No,cgnye,WS3
46460784,4,KR Analytics Ltd,MARS Review,34.23.62.33,CV36 4LG,Annabel Beasley,Epiphany Ltd,No,Other Repairs,3,2024-01-11,2024-01-13,"2 days, 0:00:00",Rejected,Yes,No,lzuyd,WS1
81991255,4,KR Analytics Ltd,MARS Review,44.61.61.24,BA11 6SF,Cora Lindsey,Epiphany Ltd,Yes,Fall Protection Inspection,3,2023-06-01,2023-06-09,"8 days, 0:00:00",Authorised,N/A,Yes,cqpyh,WS3
67555722,2,KR Analytics Ltd,MARS Review,25.13.31.46,GL6 7QH,Annabel Beasley,German Ltd,No,Other Repairs,3,2023-10-02,2023-10-05,"3 days, 0:00:00",Rejected,Yes,No,hcnlx,WS3
93883672,2,KR Analytics Ltd,MARS Review,22.54.15.44,GU46 6FX,Brayden Giles,Centurion Ltd,No,Bird Netting Repair,3,2023-05-08,2023-05-12,"4 days, 0:00:00",Authorised,N/A,Yes,dqnkr,WS3
27402353,3,KR Analytics Ltd,MARS Review,61.34.52.21,EC2N 2JP,Annabel Beasley,Centurion Ltd,Yes,Air Conditioning Installations,3,2024-02-21,2024-02-27,"6 days, 0:00:00",Authorised,N/A,Yes,bnqgu,WS3
97134769,2,KR Analytics Ltd,MARS Review,53.35.53.25,CO10 8AR,Brayden Giles,DASDA Ltd,Yes,Roof repair,3,2023-04-23,2023-04-30,"7 days, 0:00:00",Authorised,N/A,Yes,zylfi,WS1
93144281,4,KR Analytics Ltd,MARS Review,13.21.22.54,BS2 0SG,Cora Lindsey,German Ltd,No,Heating Installations,3,2024-03-07,2024-03-13,"6 days, 0:00:00",Authorised,N/A,Yes,ymtzc,WS3
97607387,4,KR Analytics Ltd,MARS Review,61.25.35.31,DL12 9YS,Tate Benjamin,Epiphany Ltd,No,Heating Installations,3,2024-01-01,2024-01-05,"4 days, 0:00:00",Rejected,Yes,No,plijg,WS1
22935222,2,KR Analytics Ltd,MARS Review,56.42.13.13,FK8 2QE,Chelsea Huber,Elixir Ltd,Yes,Vent Repairs,3,2023-05-04,2023-05-11,"7 days, 0:00:00",Authorised,N/A,Yes,lluvl,WS1
80846060,2,KR Analytics Ltd,MARS Review,16.25.24.16,GU29 1AH,Jazmine Mathis,Centurion Ltd,Yes,Fall Protection Inspection,3,2023-07-29,2023-08-08,"10 days, 0:00:00",Authorised,N/A,Yes,beupl,WS1
10227794,4,KR Analytics Ltd,MARS Review,63.46.26.23,CB2 4QW,Brayden Giles,German Ltd,No,Fall Protection Inspection,3,2023-06-24,2023-07-02,"8 days, 0:00:00",Authorised,N/A,Yes,ldboo,WS1
37685101,3,KR Analytics Ltd,MARS Review,54.24.26.66,CV35 7SZ,Kenny Merritt,DASDA Ltd,Yes,Fall Protection Inspection,3,2023-04-28,2023-04-29,"1 day, 0:00:00",Rejected,Yes,No,obday,WS3
35461612,1,KR Analytics Ltd,MARS Review,65.31.42.64,EH54 5FN,Marcos Mcpherson,Elixir Ltd,Yes,Heating Installations,3,2023-08-10,2023-08-19,"9 days, 0:00:00",Authorised,N/A,Yes,jnwjx,WS1
02906210,3,KR Analytics Ltd,MARS Review,31.65.55.32,CB2 1AR,Brayden Giles,MEKOS Ltd,Yes,Air Conditioning Installations,3,2024-03-25,2024-04-02,"8 days, 0:00:00",Rejected,Yes,No,qkkxk,WS3
72712754,2,KR Analytics Ltd,MARS Review,55.61.51.61,B8 2XQ,Kenny Merritt,Aboard Service Ltd,Yes,Fall Protection Inspection,3,2023-11-11,2023-11-12,"1 day, 0:00:00",Rejected,No,No,pnnyu,WS3
80440179,1,KR Analytics Ltd,MARS Review,63.56.65.33,DD5 3SZ,Alfredo Holmes,Arc Ltd,Yes,Heating Installations,3,2023-04-04,2023-04-05,"1 day, 0:00:00",Authorised,N/A,Yes,cthql,WS1
74829373,0,KR Analytics Ltd,MARS Review,33.21.14.14,G74 4DN,Jazmine Mathis,Centurion Ltd,No,Asbestos Survey,3,2023-10-23,2023-11-05,"13 days, 0:00:00",Authorised,N/A,Yes,aelct,WS1
16809803,1,KR Analytics Ltd,MARS Review,65.12.62.32,EC1Y 8QZ,Chelsea Huber,German Ltd,Yes,Roof repair,3,2024-03-24,2024-03-29,"5 days, 0:00:00",Rejected,No,No,dyeds,WS1
44718623,1,KR Analytics Ltd,MARS Review,15.42.66.33,E16 1QF,Alfredo Holmes,Centurion Ltd,No,Fall Protection Inspection,3,2023-06-14,2023-06-19,"5 days, 0:00:00",Authorised,N/A,Yes,awkkq,WS1
95066167,2,KR Analytics Ltd,MARS Review,62.21.51.24,DA12 1JS,Tate Benjamin,Elixir Ltd,No,Fall Protection Inspection,3,2023-08-10,2023-08-17,"7 days, 0:00:00",Rejected,No,No,pfdyb,WS1
94983418,2,KR Analytics Ltd,MARS Review,14.52.13.34,BH1 9HZ,Tate Benjamin,DASDA Ltd,No,Roof repair,3,2023-05-03,2023-05-05,"2 days, 0:00:00",Rejected,No,No,rxjxt,WS1
17218705,1,KR Analytics Ltd,MARS Review,21.43.23.11,AL7 2LF,Cora Lindsey,Aboard Service Ltd,Yes,Roof repair,3,2024-01-21,2024-01-28,"7 days, 0:00:00",Authorised,N/A,Yes,lxrgr,WS3
00604931,3,KR Analytics Ltd,MARS Review,15.65.25.12,DD5 3TR,Annabel Beasley,Elixir Ltd,Yes,Other Repairs,3,2023-12-12,2023-12-22,"10 days, 0:00:00",Rejected,Yes,No,eqqra,WS1
31764240,0,KR Analytics Ltd,MARS Review,43.64.24.23,AL5 1NE,Cassius Mullins,MEKOS Ltd,No,Air Conditioning Installations,3,2024-02-14,2024-02-17,"3 days, 0:00:00",Authorised,N/A,Yes,itido,WS3
90541202,2,KR Analytics Ltd,MARS Review,41.13.13.44,E1 6RR,Kenny Merritt,DASDA Ltd,Yes,Heating Installations,3,2023-06-07,2023-06-14,"7 days, 0:00:00",Rejected,No,No,jscym,WS1
82933910,3,KR Analytics Ltd,MARS Review,22.16.22.51,EH9 1UL,Annabel Beasley,Epiphany Ltd,No,Other Repairs,3,2023-11-03,2023-11-11,"8 days, 0:00:00",Authorised,N/A,Yes,yhrxn,WS1
51808814,0,KR Analytics Ltd,MARS Review,34.45.14.15,G51 1SL,Annabel Beasley,Centurion Ltd,No,Air Conditioning Installations,3,2024-02-15,2024-02-28,"13 days, 0:00:00",Authorised,N/A,Yes,epgxb,WS1
59261109,4,KR Analytics Ltd,MARS Review,62.12.65.16,E2 9NR,Cora Lindsey,Arc Ltd,No,Heating Installations,3,2023-09-12,2023-09-20,"8 days, 0:00:00",Authorised,N/A,Yes,qnuxa,WS3
58976216,2,KR Analytics Ltd,MARS Review,24.45.21.31,CF40 1SN,Jazmine Mathis,DASDA Ltd,Yes,Asbestos Survey,3,2023-06-12,2023-06-25,"13 days, 0:00:00",Authorised,N/A,Yes,dpoyy,WS3
54820684,0,KR Analytics Ltd,MARS Review,16.12.64.63,CH1 1HU,Tate Benjamin,Centurion Ltd,No,Bird Netting Repair,3,2023-07-08,2023-07-11,"3 days, 0:00:00",Authorised,N/A,Yes,loyfe,WS1
